Process_ID,Resource_ID,Allocated,Requested,Available,Priority,Wait_Time,Total_System_Resources,Hold_and_Wait,System_Load,Circular_Wait_Probability,Deadlock_State
20,6,7,5,15,9,31,27,1,1.2999733240593652,0.43,Deadlock
8,5,6,3,13,5,0,88,0,1.1366996713456388,0.36,Safe
20,2,3,6,9,4,42,48,0,2.000046721270439,0.99,Deadlock
16,3,3,2,1,6,20,58,1,1.550932402872536,0.54,Safe
7,8,2,0,4,1,45,33,0,2.194143206241054,0.87,Deadlock
17,6,0,2,11,1,36,98,1,2.792974842062596,0.8,Deadlock
7,10,1,6,15,5,11,53,1,1.8872006397557195,0.43,Safe
16,5,0,3,13,9,16,46,1,2.344495581291623,0.07,Safe
13,1,3,5,12,8,8,94,0,1.3112621607359292,0.09,Safe
5,2,5,7,6,4,4,57,1,1.1720663518061059,0.97,Safe
3,4,7,1,8,7,24,68,1,2.704049823378137,0.56,Safe
12,3,4,6,1,10,4,48,0,1.764656869087812,0.28,Deadlock
18,10,1,7,1,8,48,37,1,1.958362991199368,0.5,Deadlock
3,9,3,2,11,5,21,95,1,2.8070694990217175,0.3,Safe
6,5,4,1,4,6,17,96,0,1.3051874202715528,0.93,Deadlock
9,10,6,1,1,2,14,55,1,1.6856230291836491,0.79,Deadlock
19,4,7,3,2,7,3,93,0,1.095222831615685,0.59,Safe
13,10,0,0,7,5,46,93,1,2.784122819209931,0.46,Deadlock
10,10,4,6,8,1,5,57,1,2.3777072562788737,0.64,Safe
4,8,6,0,8,2,10,92,0,1.3059920930065814,0.49,Safe
4,1,4,2,12,6,10,68,0,2.6792166561891726,0.49,Safe
17,4,7,6,12,8,16,85,1,1.46184811651911,0.69,Safe
18,1,3,1,12,2,18,87,1,1.4742958365931178,0.2,Safe
11,3,7,7,12,5,20,97,1,2.7702295028651407,0.7,Safe
13,5,2,3,13,3,45,100,0,1.4305068267043095,0.45,Safe
14,8,5,1,6,6,23,100,0,1.6901165020707156,0.23,Safe
15,3,3,4,10,6,50,69,0,2.5225867383276994,0.78,Deadlock
11,2,4,6,8,8,18,68,1,1.0503564218902564,0.25,Safe
20,7,2,2,4,9,35,77,1,1.8120773822199938,0.52,Deadlock
3,10,7,6,8,1,23,49,1,1.4693911710644785,0.42,Safe
5,8,6,0,0,4,18,73,0,2.4328697908078976,0.22,Safe
3,3,4,0,8,6,11,85,0,2.527374994139531,0.52,Safe
1,8,3,1,3,5,25,49,0,2.981024510589898,0.25,Safe
16,5,7,1,5,3,12,89,0,1.1154548092082432,0.29,Safe
6,1,6,5,7,6,12,100,1,2.7419471677753853,0.85,Deadlock
6,5,4,6,4,2,33,60,0,2.2730844220412116,0.27,Safe
5,7,4,7,12,1,13,21,1,1.3058384494582278,0.94,Deadlock
3,2,1,2,2,6,29,72,1,2.1920211161243017,0.4,Safe
4,8,1,6,11,7,44,88,1,1.9319010819102689,0.1,Deadlock
11,9,3,0,15,5,17,69,0,1.3502766751640183,0.3,Safe
4,1,5,1,15,8,21,84,1,1.0859227989526836,0.18,Safe
8,3,1,1,5,9,34,82,1,1.2556935095922521,0.6,Deadlock
6,1,3,3,6,9,14,68,1,1.6259201103640033,0.91,Deadlock
2,9,3,1,7,4,33,99,1,1.3363192477821388,0.81,Deadlock
9,9,7,1,4,5,6,86,1,2.9860034364617265,0.64,Safe
6,5,3,6,11,3,6,52,1,2.2770909116736577,0.71,Deadlock
19,4,0,7,9,8,24,50,1,2.768136712139687,0.15,Safe
9,4,5,4,12,6,19,77,1,1.4564908289563596,0.35,Safe
8,6,7,1,11,6,10,55,0,1.7440235779897244,0.4,Safe
15,6,7,0,14,4,3,98,0,1.1406286369278247,0.24,Safe
17,2,7,1,11,6,28,27,1,1.3461112756033589,0.43,Safe
11,7,3,5,12,6,4,44,1,1.0991731019970066,0.95,Safe
17,10,0,7,6,4,12,75,0,2.3754561447690365,0.2,Deadlock
5,8,2,1,5,8,49,67,0,1.4973135856419852,0.02,Safe
15,2,2,4,11,2,19,32,1,2.8434412639115747,0.33,Safe
9,7,5,1,5,3,9,69,0,1.147149385882762,0.83,Safe
8,1,2,0,13,4,16,24,0,2.815028584548462,0.98,Deadlock
9,6,5,1,12,7,40,62,0,1.2055196758917006,0.27,Safe
6,8,5,4,14,2,16,69,0,2.7909763592753523,0.99,Deadlock
13,8,6,3,6,9,30,57,0,2.7562449834567664,0.41,Safe
13,4,3,5,13,4,44,54,0,2.84478887807165,0.56,Safe
1,1,5,5,15,1,43,64,0,1.1457934776305674,0.1,Safe
5,2,5,2,13,2,34,98,1,1.2271813414048802,0.73,Deadlock
13,7,0,1,2,2,49,25,1,1.2109660317362163,0.55,Deadlock
14,9,3,2,0,7,37,53,1,1.6854903580890148,0.93,Deadlock
11,5,7,6,11,9,15,47,0,2.2848871974570617,1.0,Deadlock
